,INSTRUMENT_1,INSTRUMENT_2,INSTRUMENT_3,INSTRUMENT_4,INSTRUMENT_5,INSTRUMENT_6,INSTRUMENT_7,INSTRUMENT_8,INSTRUMENT_9,INSTRUMENT_10
INSTRUMENT_1,1.0,0.9452455948860888,0.638600466013776,0.5518391975470315,0.08029631946037391,0.13151472705753234,0.3077636744362603,0.08167708200877229,0.46071172866454924,0.48357552669300286
INSTRUMENT_2,0.9452455948860888,1.0,0.6005895488625719,0.5430119102952886,0.05000780785703743,0.09585540523369976,0.2807419811731017,0.081579521270971,0.41032999335800197,0.440317594851061
INSTRUMENT_3,0.638600466013776,0.6005895488625719,1.0,0.7872118949090364,0.22452369174924697,0.28043186895271166,0.47463386569823024,0.17720916918019172,0.29837057446409004,0.3437657046440793
INSTRUMENT_4,0.5518391975470315,0.5430119102952886,0.7872118949090364,1.0,0.16870998187325514,0.22721282956727526,0.48929341015864225,0.2308582918384748,0.26261021310591914,0.26259826300413175
INSTRUMENT_5,0.08029631946037391,0.05000780785703743,0.22452369174924697,0.16870998187325514,1.0,0.9182912150194148,0.371946546831418,-0.16289236144559258,-0.03346824992673885,0.009494820487090258
INSTRUMENT_6,0.13151472705753234,0.09585540523369976,0.28043186895271166,0.22721282956727526,0.9182912150194148,1.0,0.4297753784609008,-0.15059101478779335,0.03899837319148642,0.08307822694046595
INSTRUMENT_7,0.3077636744362603,0.2807419811731017,0.47463386569823024,0.48929341015864225,0.371946546831418,0.4297753784609008,0.9999999999999999,0.20931814652976488,0.16317353101776275,0.1741300276005447
INSTRUMENT_8,0.08167708200877229,0.081579521270971,0.17720916918019172,0.2308582918384748,-0.16289236144559258,-0.15059101478779335,0.20931814652976488,1.0,0.014942472592622795,0.01858202905361282
INSTRUMENT_9,0.46071172866454924,0.41032999335800197,0.29837057446409004,0.26261021310591914,-0.03346824992673885,0.03899837319148642,0.16317353101776275,0.014942472592622795,1.0,0.8107259454587536
INSTRUMENT_10,0.48357552669300286,0.440317594851061,0.3437657046440793,0.26259826300413175,0.009494820487090258,0.08307822694046595,0.1741300276005447,0.01858202905361282,0.8107259454587536,1.0
