,INSTRUMENT_1,INSTRUMENT_2,INSTRUMENT_3,INSTRUMENT_4,INSTRUMENT_5,INSTRUMENT_6,INSTRUMENT_7,INSTRUMENT_8,INSTRUMENT_9,INSTRUMENT_10
INSTRUMENT_1,7.314426113762092e-05,9.815605276353841e-05,4.8579759260541744e-05,4.921714985945693e-05,6.31016400661079e-06,4.890086849673231e-06,2.4999597871287324e-05,1.175661201840042e-05,0.00010996543277838234,0.000149669689956226
INSTRUMENT_2,9.815605276353841e-05,0.00014670219353597747,6.470414054458683e-05,6.858694285975873e-05,5.565587314506535e-06,5.047623657233752e-06,3.2296183205625594e-05,1.662996365448209e-05,0.0001387037994229531,0.00019300286712180994
INSTRUMENT_3,4.8579759260541744e-05,6.470414054458683e-05,7.873068233544552e-05,7.284125866480315e-05,1.8305814689179537e-05,1.0818110915822963e-05,3.99996568819803e-05,2.646366809038967e-05,7.388644797383571e-05,0.00011038599387197542
INSTRUMENT_4,4.921714985945693e-05,6.858694285975873e-05,7.284125866480315e-05,0.0001082180217438216,1.6126698015419205e-05,1.0276250948303819e-05,4.834423561492847e-05,4.0419144492809055e-05,7.624268777515431e-05,9.886010360133442e-05
INSTRUMENT_5,6.31016400661079e-06,5.565587314506535e-06,1.8305814689179537e-05,1.6126698015419205e-05,8.401982587748663e-05,3.6595136716317965e-05,3.2381499470412967e-05,-2.5129477094995342e-05,-8.561713335608096e-06,3.1496120523282646e-06
INSTRUMENT_6,4.890086849673231e-06,5.047623657233752e-06,1.0818110915822963e-05,1.0276250948303819e-05,3.6595136716317965e-05,1.8809451437599704e-05,1.7703336819895606e-05,-1.0992056920464699e-05,4.720318968745882e-06,1.3039312719006159e-05
INSTRUMENT_7,2.4999597871287324e-05,3.2296183205625594e-05,3.99996568819803e-05,4.834423561492847e-05,3.2381499470412967e-05,1.7703336819895606e-05,8.97683184437803e-05,3.337799684673052e-05,4.3146745912858874e-05,5.9705540012899555e-05
INSTRUMENT_8,1.175661201840042e-05,1.662996365448209e-05,2.646366809038967e-05,4.0419144492809055e-05,-2.5129477094995342e-05,-1.0992056920464699e-05,3.337799684673052e-05,0.0002818744461565826,7.001435809523346e-06,1.1290168005953676e-05
INSTRUMENT_9,0.00010996543277838234,0.0001387037994229531,7.388644797383571e-05,7.624268777515431e-05,-8.561713335608096e-06,4.720318968745882e-06,4.3146745912858874e-05,7.001435809523346e-06,0.0007750783382354001,0.0008168198598133712
INSTRUMENT_10,0.000149669689956226,0.00019300286712180994,0.00011038599387197542,9.886010360133442e-05,3.1496120523282646e-06,1.3039312719006159e-05,5.9705540012899555e-05,1.1290168005953676e-05,0.0008168198598133712,0.0013032593578962402
