,INSTRUMENT_1,INSTRUMENT_2,INSTRUMENT_3,INSTRUMENT_4,INSTRUMENT_5,INSTRUMENT_6,INSTRUMENT_7,INSTRUMENT_8,INSTRUMENT_9,INSTRUMENT_10
INSTRUMENT_1,0.01843235380668042,0.024674799665176186,0.012212143762790239,0.012372373161730994,0.0015862703148079797,0.0012292865285819783,0.006284483246998721,0.002955416789161997,0.027643481451292667,0.03762447155974829
INSTRUMENT_2,0.024674799665176186,0.03696895277106633,0.016265545124265146,0.017241617068571535,0.0013990961141777834,0.00126888866270418,0.00811872348278313,0.004180496363296444,0.034867829004952305,0.04851771181658904
INSTRUMENT_3,0.012212143762790239,0.016265545124265146,0.019840131948532274,0.018311081327232692,0.004601777449746146,0.0027194932160387823,0.01005524868258842,0.006652526157598728,0.018573824541598595,0.027749203517728815
INSTRUMENT_4,0.012372373161730994,0.017241617068571535,0.018311081327232692,0.027270941479443044,0.00405398374922303,0.0025832786294831952,0.012152937034236056,0.010160700893305938,0.01916614405143781,0.02485178633983966
INSTRUMENT_5,0.0015862703148079797,0.0013990961141777834,0.004601777449746146,0.00405398374922303,0.021172996121126605,0.009199408918471739,0.00814017057323285,-0.006317132724391445,-0.002152272380550242,0.0007917601026749143
INSTRUMENT_6,0.0012292865285819783,0.00126888866270418,0.0027194932160387823,0.0025832786294831952,0.009199408918471739,0.004739981762275124,0.004450324530555349,-0.0027632203494783554,0.0011866097059762889,0.0032778664183669803
INSTRUMENT_7,0.006284483246998721,0.00811872348278313,0.01005524868258842,0.012152937034236056,0.00814017057323285,0.004450324530555349,0.022621616247832634,0.00839067344529459,0.010846374539620096,0.015008980060236349
INSTRUMENT_8,0.002955416789161997,0.004180496363296444,0.006652526157598728,0.010160700893305938,-0.006317132724391445,-0.0027632203494783554,0.00839067344529459,0.07103236043145884,0.0017600445525734637,0.0028381605198021203
INSTRUMENT_9,0.027643481451292667,0.034867829004952305,0.018573824541598595,0.01916614405143781,-0.002152272380550242,0.0011866097059762889,0.010846374539620096,0.0017600445525734637,0.1953197412353207,0.20533493183539092
INSTRUMENT_10,0.03762447155974829,0.04851771181658904,0.027749203517728815,0.02485178633983966,0.0007917601026749143,0.0032778664183669803,0.015008980060236349,0.0028381605198021203,0.20533493183539092,0.3284213581898524
