,INSTRUMENT_1,INSTRUMENT_2,INSTRUMENT_3,INSTRUMENT_4,INSTRUMENT_5,INSTRUMENT_6,INSTRUMENT_7,INSTRUMENT_8,INSTRUMENT_9,INSTRUMENT_10
INSTRUMENT_1,7.314426113762071e-05,9.791587168720709e-05,4.846088794758031e-05,4.909671889575791e-05,6.294723471460237e-06,4.878121145166581e-06,2.493842558332826e-05,1.1727844401436495e-05,0.00010969635496544709,0.00014930345857042972
INSTRUMENT_2,9.791587168720709e-05,0.0001467021935359775,6.454581398517915e-05,6.841911535147434e-05,5.551968707054696e-06,5.035272471048334e-06,3.221715667771084e-05,1.6589271282922396e-05,0.0001383644008133028,0.0001925306024467819
INSTRUMENT_3,4.846088794758031e-05,6.454581398517915e-05,7.873068233544554e-05,7.266302113981226e-05,1.826102162597677e-05,1.0791639746185643e-05,3.990178048646199e-05,2.6398913323804478e-05,7.370565294285156e-05,0.00011011588697511434
INSTRUMENT_4,4.909671889575791e-05,6.841911535147434e-05,7.266302113981226e-05,0.0001082180217438216,1.6087237100091388e-05,1.0251105672552362e-05,4.822594061204784e-05,4.0320241640102926e-05,7.605612718824527e-05,9.861819976126849e-05
INSTRUMENT_5,6.294723471460237e-06,5.551968707054696e-06,1.826102162597677e-05,1.6087237100091388e-05,8.401982587748653e-05,3.650559094631642e-05,3.2302264179495435e-05,-2.5067987001553352e-05,-8.540763414881913e-06,3.141905169344898e-06
INSTRUMENT_6,4.878121145166581e-06,5.035272471048334e-06,1.0791639746185643e-05,1.0251105672552362e-05,3.650559094631642e-05,1.8809451437599697e-05,1.7660017978394242e-05,-1.09651601169776e-05,4.708768674509083e-06,1.3007406422091192e-05
INSTRUMENT_7,2.493842558332826e-05,3.221715667771084e-05,3.990178048646199e-05,4.822594061204784e-05,3.2302264179495435e-05,1.7660017978394242e-05,8.97683184437803e-05,3.3296323195613455e-05,4.3041168808016255e-05,5.955944468347757e-05
INSTRUMENT_8,1.1727844401436495e-05,1.6589271282922396e-05,2.6398913323804478e-05,4.0320241640102926e-05,-2.5067987001553352e-05,-1.09651601169776e-05,3.3296323195613455e-05,0.0002818744461565827,6.984303780053427e-06,1.1262541745246509e-05
INSTRUMENT_9,0.00010969635496544709,0.0001383644008133028,7.370565294285156e-05,7.605612718824527e-05,-8.540763414881913e-06,4.708768674509083e-06,4.3041168808016255e-05,6.984303780053427e-06,0.0007750783382353995,0.0008148211580769481
INSTRUMENT_10,0.00014930345857042972,0.0001925306024467819,0.00011011588697511434,9.861819976126849e-05,3.141905169344898e-06,1.3007406422091192e-05,5.955944468347757e-05,1.1262541745246509e-05,0.0008148211580769481,0.0013032593578962397
